PropertyStateProvinceID,PropertyStateProvinceName,id
134,VI,0197167b-c54a-479f-b976-20ed7d295c3b
135,YT,270e533e-2170-433a-a6b2-1f9d029d20ea
136,TG,9468d759-fdfc-4242-9400-e5e155de48d9
137,ZAC,cfb72e11-9112-4f70-b3ea-0433f903bf09
138,MOR,ed452079-3cec-48f3-aa61-8f82114eeeb6
139,DUR,7ca2b820-2eb7-469a-b1b6-eac6c4a9cf88
140,HID,c7e43007-1014-4c27-a7d5-c74cb890aaac
141,NF,8a56147b-fed0-4c68-841f-1591139b24be
142,NU,3212bc59-4c7d-42fc-a24b-32ca1af1ffc9
143,GU,c6f33c78-d38e-4f28-91eb-c2d5c08f28bb
144,DN,02a03822-4421-405a-a02c-97eb5a8018de
145,RR,2ffd18ff-d8ed-44b8-84b7-a09972aa9f6e
146,ML,0e5fd093-57c8-4e6d-83eb-79c648b3439d
147,DD,48dace0f-9f64-4256-91f9-71d54186b1a3
148,LD,b7fad649-f5d1-45ff-af62-663c01e51660
149,TO,1ccbe4e9-e5fa-4b36-9b84-9023af8a342c
150,TR,ab9a6bd7-22ce-46d4-bf44-3844ddd08219
151,QL,62cf5440-bd8d-4a78-84da-3edda4120b3d
152,TS,5299699e-4187-47ee-8661-7fef14a2d820
153,BZO,a59dc59d-6a26-4903-ae16-6e7289e3e798
154,MW,c57bc302-872b-4dba-b643-0cdee81392ed
155,PMI,18e5ab2a-9513-4089-a906-1b00b2c7bd7e
156,KT,02a59cb4-a193-4996-83c0-880900043fad
